article_start,article_end,file,alt_text
1,2,01-gestao-financeira.jpg,Equipe em reunião sobre gestão financeira empresarial
3,5,02-integracoes-financeiras.jpg,Profissionais analisando integração financeira e conectividade
6,11,03-pagamentos-corporativos.jpg,Equipe revisando processos de pagamentos corporativos
12,17,04-liquidez-tesouraria.jpg,Equipe de tesouraria analisando liquidez corporativa
18,22,05-credito-fornecedores.jpg,Profissionais discutindo crédito e relacionamento com fornecedores
23,25,06-cobranca-risco.jpg,Analistas avaliando cobrança preventiva e risco de crédito
26,30,07-operacao-financeira.jpg,Equipe organizando processos da operação financeira
31,34,08-governanca-processos.jpg,Líderes estruturando governança e processos financeiros
35,38,09-forecast-preditividade.jpg,Analistas comparando cenários de forecast de caixa
39,40,10-cfo-indicadores.jpg,CFO e líderes analisando indicadores financeiros executivos
